id;managemeetid;course;id;name;shortname;fullname;name;record;new_url;fechacread
110112;4316;6986;216;Ley de emprendimiento;53713077;Convierte en un pro en excel;Clase 2 - 53713077;https://comfama.webex.com/comfama/ldr.php?RCID=9c183846911f8755956714db5f1224de;;20/01/23 0:00
110113;4316;6986;216;Ley de emprendimiento;53713077;Convierte en un pro en excel;Clase 3 - 53713077;https://comfama.webex.com/comfama/ldr.php?RCID=94437b8f9d1761305c1100a8dc1ed83d;;20/01/23 0:00
110114;4316;6986;216;Ley de emprendimiento;53713077;Convierte en un pro en excel;Clase 4 - 53713077;https://comfama.webex.com/comfama/ldr.php?RCID=f1aafe044c0844e32dec6b34ca18ab4b;;20/01/23 0:00
110115;4316;6986;216;Ley de emprendimiento;53713077;Convierte en un pro en excel;Clase 5 - 53713077;https://comfama.webex.com/comfama/ldr.php?RCID=72384c2f4ad8925909ac8b9d30dc832b;;20/01/23 0:00
110116;4316;6986;216;Ley de emprendimiento;53713077;Convierte en un pro en excel;Clase 6 - 53713077;https://comfama.webex.com/comfama/ldr.php?RCID=36db086efda137ca17ab3a04e3ca0335;;20/01/23 0:00
110117;4316;6986;216;Ley de emprendimiento;53713077;Convierte en un pro en excel;Clase 7 - 53713077;https://comfama.webex.com/comfama/ldr.php?RCID=afa161cd07f983627550a2eb98cae915;;20/01/23 0:00
110118;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 1 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=d09b23503daa7c4aa137cdf5d9fc777c;;20/01/23 0:00
110119;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 2 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=7e4a99020c93075af26679f007a705a5;;20/01/23 0:00
110120;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 3 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=0f585495fd3668fb3ad6cb39f59e5fee;;20/01/23 0:00
110121;4317;6984;216;Ley de emprendimiento;53713079;Convierte en un pro en excel;Clase 4 - 53713079;https://comfama.webex.com/comfama/ldr.php?RCID=3b4520d436f4feecaf90ac636cb66d5e;;20/01/23 0:00
